a_la_carte	table_d'hote
hope	despair
hopeful	hopeless
hopefulness	hopelessness
hopelessness	hopefulness
horizontal	vertical	inclined
hospitableness	inhospitableness
hospitality	inhospitality
host	parasite
hostile	friendly	amicable
hot_war	cold_war
hotness	coldness
human	nonhuman
humaneness	inhumaneness
humility	pride	conceit
husband	wife
hydrate	dehydrate
hypercalcemia	hypocalcemia
hypercapnia	hypocapnia
hypercatalectic	acatalectic	catalectic
hyperglycemia	hypoglycemia
hyperkalemia	hypokalemia
hypernatremia	hyponatremia
hyperopia	myopia
hyperparathyroidism	hypoparathyroidism
hyperpigmentation	hypopigmentation
hyperpnea	hypopnea
hypersomnia	insomnia
hypertension	hypotension
hypertensive	normotensive	hypotensive
hyperthermia	hypothermia
hyperthyroidism	hypothyroidism
hypertonia	hypotonia
hypertonicity	hypotonicity
hypertonus	hypotonus
hypervolemia	hypovolemia
hypocalcemia	hypercalcemia
hypocapnia	hypercapnia
hypoglycemia	hyperglycemia
hypokalemia	hyperkalemia
hyponatremia	hypernatremia
hypoparathyroidism	hyperparathyroidism
hypopigmentation	hyperpigmentation
hypopnea	hyperpnea
hypotension	hypertension
hypotensive	hypertensive	normotensive
hypothermia	hyperthermia
hypothyroidism	hyperthyroidism
hypotonia	hypertonia
hypotonicity	hypertonicity
hypotonus	hypertonus
hypovolemia	hypervolemia
idle	work	busy	run
ill	well
ill-being	well-being
ill_health	good_health
ill_humor	good_humor
ill_nature	good_nature
illegality	legality
illegibility	legibility
illegitimacy	legitimacy
illegitimate	legitimate
illiberality	liberality
illicitness	licitness
illiteracy	literacy
illiterate	literate
illness	wellness
illogicality	logicality
illogicalness	logicalness
imbalance	balance
imitation	formalism
immateriality	materiality
immaturity	maturity
immediacy	mediacy
immersion	emersion
immobility	mobility
immoderation	moderation
immodesty	modesty
immorality	morality
immortal	mortal
immortality	mortality
immotility	motility
immovability	movability
immovableness	movableness
immunocompetence	immunodeficiency
immunodeficiency	immunocompetence
immutability	mutability
immutableness	mutableness
impalpability	palpability
impartiality	partiality
impatience	patience
impenetrability	penetrability
imperative	beseeching
imperceptibility	perceptibility
imperfect	perfect
imperfectibility	perfectibility
imperfection	perfection
impermanence	permanence
impermeability	permeability
impermissibility	permissibility
imperviousness	perviousness
impiety	piety
implausibility	plausibility
impoliteness	politeness
imponderable	ponderable
import	export
importance	unimportance
impossibility	possibility
impossible	possible
impotence	potence
impotency	potency
impracticability	practicability
impracticableness	practicableness
impracticality	practicality
impreciseness	preciseness
imprecision	precision
improbability	probability
improperness	properness
impropriety	propriety
improvement	decline
improvidence	providence
imprudence	prudence
impurity	purity
in-basket	out-basket
inability	ability
inaccessibility	accessibility
inaccuracy	accuracy
inaction	action
inactivation	activation
inactiveness	activeness
inactivity	activity
inadequacy	adequacy
inadmissibility	admissibility
inadvisability	advisability
inanimateness	animateness
inapplicability	applicability
inappositeness	appositeness
inappropriateness	appropriateness
inaptitude	aptitude
inaptness	aptness
inattention	attention
inattentiveness	attentiveness
inaudibility	audibility
inaugural	exaugural
inauspiciousness	auspiciousness
incapability	capability
incapableness	capableness
incapacity	capacity
incaution	caution
incentive	disincentive
incidental	basic
incivility	civility
inclination	disinclination
inclusion	exclusion
incognizance	cognizance
incoherence	coherence
income	outgo
incoming	outgoing
incompatibility	compatibility
incompetence	competence
incompetent	competent
incompleteness	completeness
incomprehensibility	comprehensibility
incomprehension	comprehension
incompressibility	compressibility
inconclusiveness	conclusiveness
incongruity	congruity
incongruousness	congruousness
inconsequence	consequence
inconsideration	consideration
inconsistency	consistency
inconspicuousness	conspicuousness
inconstancy	constancy
inconvenience	convenience
inconvertibility	convertibility
incoordination	coordination
incorporeality	corporeality
incorrectness	correctness
incorruptibility	corruptibility
incorruptness	corruptness
increase	decrease
incredibility	credibility
increment	decrement
incurability	curability
incurable	curable
incurableness	curableness
indecency	decency
indecision	decision
indecisiveness	decisiveness
indecorousness	decorousness
indecorum	decorum
independent	dependent
indestructibility	destructibility
indication	contraindication
indigestibility	digestibility
indirect_discourse	direct_discourse
indirectness	directness
indiscipline	discipline
indispensability	dispensability
indispensableness	dispensableness
indistinctness	distinctness
individual	common
individuality	commonality
ineffectiveness	effectiveness
inefficacy	efficacy
inefficiency	efficiency
inelasticity	elasticity
inelegance	elegance
ineligibility	eligibility
inequality	equality
inequity	equity
inerrancy	errancy
inessential	essential
inessentiality	essentiality
inevitable	evitable
inexactness	exactness
inexpedience	expedience
inexpediency	expediency
inexpensiveness	expensiveness
inexperience	experience
inexplicitness	explicitness
infallibility	fallibility
infamy	fame
infeasibility	feasibility
infelicity	felicity
inferior	superior
inferiority	superiority
infernal	supernal
infertility	fertility
infidelity	fidelity
infield	outfield
infinite	finite
infiniteness	finiteness
inflation	deflation	disinflation
inflationary_spiral	deflationary_spiral
inflexibility	flexibility
inflow	outflow
influx	efflux
informality	formality
ingenuousness	disingenuousness
ingratitude	gratitude
ingress	egress
inhibitor	activator
inhospitableness	hospitableness
inhospitality	hospitality
inhumaneness	humaneness
initiate	uninitiate
injudiciousness	judiciousness
injustice	justice
innocence	guilt
innocent	guilty
inopportuneness	opportuneness
inpatient	outpatient
inquiring	uninquiring
insalubriousness	salubriousness
